rank,contract,name,symbol
1,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT
2,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC
4,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,stETH
5,0x50327c6c5a14dcade707abad2e27eb517df87ab5,TRON,TRX
6,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,Wrapped TON Coin,TONCOIN
7,0x3883f5e181fccaf8410fa61e12b59bad963fb645,Theta Token,THETA
8,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,Matic Token,MATIC
9,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC
10,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB
11,0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK
12,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI
13,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex LEO Token,LEO
14,0x0000000000085d4780B73119b644AE5ecd22b376,TrueUSD,TUSD
15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI
16,0x75231f58b43240c9718dd58b4967c5114342a86c,OKB,OKB
17,0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,BUSD
18,0x5a98fcbea516cf06857215779fd812ca3bef1b32,Lido DAO Token,LDO
19,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Cronos Coin,CRO
20,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker,MKR
21,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,Mantle,MNT
22,0x4a220e6096b25eadb88358cb44068a3248254675,Quant,QNT
23,0xd850942ef8811f2a866692a623011bde52a462c1,VeChain,VEN
24,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,Arbitrum,ARB
25,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,NEAR,NEAR
26,0x4da27a545c0c5b758a6ba100e3a049001de870f5,Staked Aave,stkAAVE
27,0xae78736cd615f374d3085123a210448e74fc6393,Rocket Pool ETH,rETH
28,0xc944e90c64b2c07662a292be6244bdf05cda44a7,Graph Token,GRT
29,0x0C10bF8FcB7Bf5412187A595ab97a3609160b5c6,Decentralized USD,USDD
30,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,Immutable X,IMX
31,0x853d955acef822db058eb8505911ed77f175b99e,Frax,FRAX
32,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,Synthetix Network Token,SNX
33,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,Render Token,RNDR
34,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,Injective Token,INJ
35,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,SAND,SAND
36,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,HEX
37,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland,MANA
38,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,Wrapped Decentraland MANA,wMANA
39,0x4e15361fd6b4bb609fa63c81a2be19d873717870,Fantom Token,FTM
40,0x4290563c2d7c255b5eec87f2d3bd10389f991d68,UnlimitedIP Token,UIP
41,0x8e870d67f660d95d5be530380d0ec0bd388289e1,Pax Dollar,USDP
42,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB
43,0x45804880De22913dAFE09f4980848ECE6EcbAf78,Paxos Gold,PAXG
44,0x68749665ff8d2d112fa859aa293f07a622782f38,Tether Gold,XAUt
45,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound Ether,cETH
46,0x5e8422345238f34275888049021821e8e08caa1f,Frax Ether,frxETH
47,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,KuCoin Token,KCS
48,0x3506424f91fd33084466f402d5d97f05f8e3b4af,chiliZ,CHZ
49,0x4d224452801aced8b2f0aebe155379bb5d594381,ApeCoin,APE
50,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,Rocket Pool,RPL
51,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Frax Share,FXS
52,0x6f259637dcd74c767781e37bc6133cd6a68aa161,HuobiToken,HT
53,0xc669928185dbce49d2230cc9b0979be6dc797957,BitTorrent,BTT
54,0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdX,DYDX
55,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,Coinbase Wrapped Staked ETH,cbETH
56,0xac3e018457b222d93114458476f3e3416abbe38f,Staked Frax Ether,sfrxETH
57,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Nexo,NEXO
58,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,Wootrade Network,WOO
59,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,APENFT,NFT
